Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.43     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::move_iterator<std::vector<int, std::allocator<int> >*>, std::move_iterator<std::vector<int, std::allocator<int> >*>, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      2.43     0.00        3     0.00     0.00  void std::__uninitialized_default_n<std::vector<int, std::allocator<int> >*, unsigned long>(std::vector<int, std::allocator<int> >*, unsigned long)
  0.00      2.43     0.00        3     0.00     0.00  void std::__uninitialized_default_n_a<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      2.43     0.00        3     0.00     0.00  std::vector<int, std::allocator<int> >* std::__uninitialized_move_if_noexcept_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.00      2.43     0.00        3     0.00     0.00  bool std::operator==<std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*> const&, std::move_iterator<std::vector<int, std::allocator<int> >*> const&)
  0.00      2.43     0.00        3     0.00     0.00  bool std::operator!=<std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*> const&, std::move_iterator<std::vector<int, std::allocator<int> >*> const&)
  0.00      2.43     0.00        2     0.00     0.00  std::_Tuple_impl<2ul>::_Tuple_impl()
  0.00      2.43     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z3gcdii
  0.00      2.43     0.00        1     0.00     0.00  gcd(int, int)
  0.00      2.43     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      2.43     0.00        1     0.00     0.16  input()
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<0ul, int&, false>::_M_head(std::_Head_base<0ul, int&, false>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<0ul, int&, false>::_Head_base(int&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<0ul, int, false>::_M_head(std::_Head_base<0ul, int, false>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<0ul, int, false>::_Head_base<int>(int&&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<1ul, int&, false>::_M_head(std::_Head_base<1ul, int&, false>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<1ul, int&, false>::_Head_base(int&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<1ul, int, false>::_M_head(std::_Head_base<1ul, int, false>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Head_base<1ul, int, false>::_Head_base<int>(int&&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int&, int&>::_M_head(std::_Tuple_impl<0ul, int&, int&>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int&, int&>::_M_tail(std::_Tuple_impl<0ul, int&, int&>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int&, int&>::_Tuple_impl(int&, int&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int&, int&>& std::_Tuple_impl<0ul, int&, int&>::operator=<int, int>(std::_Tuple_impl<0ul, int, int>&&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int, int>::_M_head(std::_Tuple_impl<0ul, int, int>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int, int>::_M_tail(std::_Tuple_impl<0ul, int, int>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, int, int>::_Tuple_impl<int, int, void>(int&&, int&&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int&>::_M_head(std::_Tuple_impl<1ul, int&>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int&>& std::_Tuple_impl<1ul, int&>::operator=<int>(std::_Tuple_impl<1ul, int>&&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int>::_M_head(std::_Tuple_impl<1ul, int>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int>::_Tuple_impl<int, , void>(int&&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int&>::_M_tail(std::_Tuple_impl<1ul, int&>&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int&>::_Tuple_impl(int&)
  0.00      2.43     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, int>::_M_tail(std::_Tuple_impl<1ul, int>&)
  0.00      2.43     0.00        1     0.00     0.00  std::tuple<int&, int&>& std::tuple<int&, int&>::operator=<int, int>(std::tuple<int, int>&&)
  0.00      2.43     0.00        1     0.00     0.00  std::tuple<int&, int&>::tuple(int&, int&)
  0.00      2.43     0.00        1     0.00     0.00  std::tuple<int, int>::tuple<int, int, void>(int&&, int&&)
  0.00      2.43     0.00        1     0.00     0.00  std::tuple<std::__decay_and_strip<int>::__type, std::__decay_and_strip<int>::__type> std::make_tuple<int, int>(int&&, int&&)
  0.00      2.43     0.00        1     0.00     0.00  std::tuple<int&, int&> std::tie<int, int>(int&, int&)
  0.00      2.43     0.00        1     0.00     0.00  std::remove_reference<std::_Tuple_impl<1ul, int>&>::type&& std::move<std::_Tuple_impl<1ul, int>&>(std::_Tuple_impl<1ul, int>&)
  0.00      2.43     0.00        1     0.00     0.00  std::remove_reference<std::_Tuple_impl<2ul>&>::type&& std::move<std::_Tuple_impl<2ul>&>(std::_Tuple_impl<2ul>&)
